name,full_address,description,tags,opening_date,osm_last_edit,osm_last_edit_age_days,osm_first_added,google_place_id,google_first_seen,google_first_review_date,source
Belmont,"Hakaniemenkatu 7, 00530 Helsinki, FI","italian, pizza, new_york, american, pasta cuisine",confidence:medium;cuisine:american;cuisine:italian;cuisine:new;cuisine:pasta;cuisine:pizza;cuisine:york;restaurant,,2025-09-23T19:16:02Z,135,,,,,OpenStreetMap
Roji,"Kolmas linja 16, 00530 Helsinki",sushi cuisine,confidence:medium;cuisine:sushi;diet:halal:no;diet:kosher:no;outdoor_seating:no;restaurant,,2025-08-08T14:36:22Z,181,,,,,OpenStreetMap
Lemon Grass,"Kolmas linja 12, 00530 Helsinki",thai cuisine,confidence:medium;cuisine:thai;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:no;restaurant,,2025-08-08T14:36:27Z,181,,,,,OpenStreetMap
Ravintola Vaunu,"Ratapihantie 9, 00520 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-12-15T16:42:41Z,52,,,,,OpenStreetMap
Mullikka,"Mannerheimintie 130, 00270 Helsinki","burger, wings cuisine",confidence:medium;cuisine:burger;cuisine:wings;delivery:yes;outdoor_seating:yes;restaurant,,2025-10-08T19:16:17Z,120,,,,,OpenStreetMap
Kotipizza,"Ristipellontie 25, 00390 Helsinki",pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food;takeaway:yes,,2025-09-26T16:57:28Z,132,,,,,OpenStreetMap
Raku,"Ristipellontie 25, 00390 Helsinki","japanese, chinese cuisine",confidence:medium;cuisine:chinese;cuisine:japanese;diet:halal:no;diet:kosher:no;restaurant,,2025-10-16T14:40:48Z,112,,,,,OpenStreetMap
Lintsi Cafe,"Kotkankatu 4, 00510 Helsinki, FI","coffee_shop, ice_cream, sandwich cuisine",cafe;confidence:medium;cuisine:coffee;cuisine:cream;cuisine:ice;cuisine:sandwich;cuisine:shop;diet:halal:no;diet:kosher:no;outdoor_seating:yes,,2025-12-28T11:08:20Z,39,,,,,OpenStreetMap
Roberts Coffee Citykäytävä,Aleksanterinkatu 21,"cake, coffee_shop, ice_cream, tea cuisine",cafe;confidence:medium;cuisine:cake;cuisine:coffee;cuisine:cream;cuisine:ice;cuisine:shop;cuisine:tea;diet:halal:no;diet:kosher:no;outdoor_seating:yes,,2025-09-28T12:30:58Z,130,,,,,OpenStreetMap
La Torrefazione,"Aleksanterinkatu 50 B, 00100 Helsinki, FI",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:no,,2025-11-07T09:01:05Z,90,,,,,OpenStreetMap
Amarillo,"Aleksanterinkatu 46, 00100 Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant,,2025-10-27T16:06:42Z,101,,,,,OpenStreetMap
Izza,,pizza cuisine,confidence:medium;cuisine:pizza;diet:vegetarian:yes;fast_food;outdoor_seating:yes,,2025-09-06T10:51:26Z,152,,,,,OpenStreetMap
Brasserie Lionne,"Pohjoisesplanadi 37, 00100 Helsinki",french cuisine,confidence:medium;cuisine:french;outdoor_seating:yes;restaurant,,2025-12-30T11:51:49Z,37,,,,,OpenStreetMap
Ren He,Vanha viertotie 18,chinese cuisine,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant,,2025-11-12T08:41:13Z,85,,,,,OpenStreetMap
Eira Plaza,"Jääkärinkatu 15a, 00150 Helsinki, FI",pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food;outdoor_seating:no,,2025-09-13T12:08:24Z,145,,,,,OpenStreetMap
Haru Plus Sushi,"Annankatu 6, 00120 Helsinki, FI","thai, sushi cuisine",confidence:medium;cuisine:sushi;cuisine:thai;diet:halal:no;diet:kosher:no;restaurant,,2026-01-27T13:13:54Z,9,,,,,OpenStreetMap
Fredi Pizzeria,"Fredrikinkatu 61-B, 00100 Helsinki, FI","pizza, kebab, burger, vöner cuisine",confidence:medium;cuisine:burger;cuisine:kebab;cuisine:pizza;cuisine:vöner;diet:vegan:yes;outdoor_seating:no;restaurant,,2025-10-04T14:20:49Z,124,,,,,OpenStreetMap
Passio,"Kalevankatu 13, 00100 Helsinki, FI",brunch,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-09-13T13:32:40Z,145,,,,,OpenStreetMap
Kotipizza,"Roihuvuorentie 26, 00820 Helsinki",pizza cuisine,confidence:medium;cuisine:pizza;fast_food;outdoor_seating:no;takeaway:yes,,2025-08-10T17:57:48Z,179,,,,,OpenStreetMap
Patisserie Teemu Aura,"Fredrikinkatu 19, 00120 Helsinki, FI",,cafe;confidence:medium;outdoor_seating:yes,,2025-09-13T12:12:11Z,145,,,,,OpenStreetMap
Gurkha,"Hiihtäjäntie 1, 00810 Helsinki",nepalese cuisine,confidence:medium;cuisine:nepalese;diet:halal:no;diet:kosher:no;restaurant,,2025-08-09T12:32:26Z,180,,,,,OpenStreetMap
Ho Khao,Pohjoinen Makasiinikatu 7,thai cuisine,confidence:medium;cuisine:thai;restaurant,,2025-10-18T05:39:42Z,110,,,,,OpenStreetMap
Eromanga,,,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2025-08-06T15:03:29Z,183,,,,,OpenStreetMap
Café Bar No 9,"Uudenmaankatu 9, 00120 Helsinki, FI",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes,,2025-11-27T11:04:30Z,70,,,,,OpenStreetMap
Boreal,"Uudenmaankatu 9, 00120 Helsinki, FI",local cuisine,confidence:medium;cuisine:local;restaurant,,2025-11-27T11:04:30Z,70,,,,,OpenStreetMap
Luckiefun’s Sushi Buffet Helsinki,"Lönnrotinkatu 2, 00100 Helsinki, FI",japanese cuisine,confidence:medium;cuisine:japanese;diet:halal:no;diet:kosher:no;restaurant,,2025-11-03T12:14:04Z,94,,,,,OpenStreetMap
Bacco,"Pohjoisesplanadi 9, 00170 Helsinki",italian cuisine,confidence:medium;cuisine:italian;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant,,2025-11-07T10:25:56Z,90,,,,,OpenStreetMap
Putte's Bar & Pizza,"Kalevankatu 6, 00100 Helsinki, FI",pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;restaurant,,2025-09-13T13:39:23Z,145,,,,,OpenStreetMap
Zaap,"Töölönlahdenkatu 3, 00100 Helsinki",thai cuisine,confidence:medium;cuisine:thai;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant,,2025-09-26T16:10:03Z,132,,,,,OpenStreetMap
Cafe Mustasaari,,,confidence:medium;restaurant,,2025-10-26T09:46:43Z,102,,,,,OpenStreetMap
China Wall,,chinese cuisine,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant,,2025-10-04T11:41:41Z,124,,,,,OpenStreetMap
Il Siciliano,"Pohjoisesplanadi 21, 00100 Helsinki",italian cuisine,confidence:medium;cuisine:italian;diet:halal:no;diet:kosher:no;restaurant,,2025-10-19T13:41:54Z,109,,,,,OpenStreetMap
Nefer Nefer Nefer,"Erottajankatu 4, Helsinki, FI","persian, arab cuisine",confidence:medium;cuisine:arab;cuisine:persian;restaurant,,2025-12-18T06:09:36Z,49,,,,,OpenStreetMap
Sushibar + Wine,Töölönkatu 51 A,sushi cuisine,confidence:medium;cuisine:sushi;diet:halal:no;diet:kosher:no;restaurant,,2025-12-11T05:47:05Z,56,,,,,OpenStreetMap
Unicafe,"Töölönkatu 37, 00260 Helsinki",,confidence:medium;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Ravintola Dhaka Grilli,"Näyttelijäntie 14 B, 00400 Helsinki",,confidence:medium;restaurant,,2026-01-28T12:22:59Z,8,,,,,OpenStreetMap
Trần Tịnh,"Siltasaarenkatu 3-5, 00530 Helsinki",vietnamese cuisine,confidence:medium;cuisine:vietnamese;diet:halal:no;diet:kosher:no;diet:vegan:only;diet:vegetarian:only;restaurant,,2025-12-28T21:18:54Z,39,,,,,OpenStreetMap
Kahvila Stoa,"Turunlinnantie 1, 00900 Helsinki",,confidence:medium;restaurant,,2026-01-12T05:56:17Z,24,,,,,OpenStreetMap
Hungry Hub,"Töölönlahdenkatu 3, 00100 Helsinki, FI","friture, burger cuisine",confidence:medium;cuisine:burger;cuisine:friture;fast_food,,2025-09-19T11:46:04Z,139,,,,,OpenStreetMap
Chill out Cafe,"Varikkotie 4, 00900 Helsinki","sandwich, salad, burger cuisine",confidence:medium;cuisine:burger;cuisine:salad;cuisine:sandwich;diet:halal:no;diet:kosher:no;restaurant;takeaway:yes,,2025-11-14T12:56:28Z,83,,,,,OpenStreetMap
"Kampai 3""","Kolmas linja 18, 00530 Helsinki",japanese cuisine,confidence:medium;cuisine:japanese;outdoor_seating:yes;restaurant,,2025-08-08T14:36:21Z,181,,,,,OpenStreetMap
Krog Roba,Pieni Roobertinkatu 1,,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-10-17T05:12:42Z,111,,,,,OpenStreetMap
Insinöörit & Ekonomit,"Junailijanaukio 3, 00520 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-12-15T16:42:41Z,52,,,,,OpenStreetMap
Ravintola Ratamestari,"Ratamestarinkatu 11, 00520 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-12-15T16:42:41Z,52,,,,,OpenStreetMap
Mala House,"Opastinsilta 10, 00520 Helsinki",asian cuisine,confidence:medium;cuisine:asian;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant,,2025-12-15T16:42:41Z,52,,,,,OpenStreetMap
Outrun Cafe,"Asemapäällikönkatu 3, 00520 Helsinki","international, cafe cuisine",cafe;confidence:medium;cuisine:cafe;cuisine:international;diet:halal:no;diet:kosher:no;outdoor_seating:yes,,2025-10-20T14:21:54Z,108,,,,,OpenStreetMap
Twisted Street Kitchen,"Fredrikinkatu 58, 00100 Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-09-12T08:10:38Z,146,,,,,OpenStreetMap
Fazer Café,,,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2025-08-29T19:05:09Z,160,,,,,OpenStreetMap
Pizza Kebab Puotilan Säde,"Puotilan metrokatu 1, 00910 Helsinki",pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food,,2025-10-04T06:04:53Z,124,,,,,OpenStreetMap
Thai Vegan Kitchen,"Lapinlahdenkatu 9, 00180 Helsinki",thai cuisine,confidence:medium;cuisine:thai;diet:halal:yes;diet:kosher:yes;diet:vegan:only;diet:vegetarian:only;outdoor_seating:yes;restaurant;takeaway:yes,,2025-08-12T13:58:00Z,177,,,,,OpenStreetMap
Cafe Hiekka Kanneltalo,"Klaneettitie 5, 00420 Helsinki",,cafe;confidence:medium,,2026-01-19T21:25:03Z,17,,,,,OpenStreetMap
Finlandia Caviar,Eteläranta 20,,confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant,,2025-11-07T10:25:57Z,90,,,,,OpenStreetMap
Akhanda Nepalilainen Ravintola,"Valimotie 2, 00380 Helsinki",nepalese cuisine,confidence:medium;cuisine:nepalese;diet:chicken:yes;diet:fish:yes;diet:gluten_free:yes;diet:lactose_free:yes;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:no;restaurant;takeaway:yes,,2025-12-13T14:08:40Z,54,,,,,OpenStreetMap
Lezzet Anatolia,"Kauppakartanonkatu 7 A, 00930 Helsinki",turkish cuisine,confidence:medium;cuisine:turkish;restaurant,,2025-11-22T17:35:59Z,75,,,,,OpenStreetMap
Karppi,"Punavuorenkatu 3, 00120 Helsinki, FI",,confidence:medium;restaurant,,2025-08-10T10:33:52Z,179,,,,,OpenStreetMap
Robert's Coffee,"Korkeavuorenkatu 7, FI",,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2025-10-19T16:34:38Z,109,,,,,OpenStreetMap
Skiffer Viiskulma,"Laivurinkatu 10, 00150 Helsinki, FI",pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant,,2025-09-13T12:08:27Z,145,,,,,OpenStreetMap
Basbas Studio,"Pursimiehenkatu 27, 00150 Helsinki, FI",,confidence:medium;restaurant,,2025-12-23T12:06:48Z,44,,,,,OpenStreetMap
Hymy Hetki,"Uudenmaankatu 17, Helsinki, FI",,cafe;confidence:medium;outdoor_seating:yes,,2025-09-17T08:39:46Z,141,,,,,OpenStreetMap
Zucchini,"Fabianinkatu 4, Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:only;restaurant,,2025-08-12T12:10:07Z,177,,,,,OpenStreetMap
Restaurant Haven,,,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-10-19T09:26:33Z,109,,,,,OpenStreetMap
Relove,"Fredrikinkatu 25, 00120 Helsinki, FI",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes,,2025-09-13T12:12:55Z,145,,,,,OpenStreetMap
Caverna,"Yliopistonkatu 5, 00100 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:no;outdoor_seating:no;restaurant,,2025-12-07T14:53:11Z,60,,,,,OpenStreetMap
Karaz,"Lönnrotinkatu 15, 00120 Helsinki, FI",syrian cuisine,confidence:medium;cuisine:syrian;restaurant,,2025-11-02T12:08:49Z,95,,,,,OpenStreetMap
Just vege,"Vaasankatu 15, 00100 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:only;restaurant,,2025-08-16T12:49:43Z,173,,,,,OpenStreetMap
Suburritos,"Yrjönkatu 29, 00100 Helsinki, FI",mexican cuisine,confidence:medium;cuisine:mexican;diet:halal:no;diet:kosher:no;fast_food;outdoor_seating:yes,,2025-11-12T08:42:54Z,85,,,,,OpenStreetMap
Cafe Esplanad,"Pohjoisesplanadi 37, 00100 Helsinki, FI",On weekdays we serve lunch from 11.00,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;outdoor_seating:no,,2025-12-23T21:23:53Z,44,,,,,OpenStreetMap
Barbarossa Pizza & Kebab,Kampinkuja 2,pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;outdoor_seating:no;restaurant,,2025-12-30T12:07:45Z,37,,,,,OpenStreetMap
Fazer Café,"Bulevardi 7, 00120 Helsinki, FI",,cafe;confidence:medium;diet:vegetarian:yes;outdoor_seating:yes,,2025-11-22T12:41:13Z,75,,,,,OpenStreetMap
Ha Noi Quan,"Urho Kekkosen katu 7, 00100 Helsinki, FI",vietnamese cuisine,confidence:medium;cuisine:vietnamese;restaurant,,2025-08-10T11:06:14Z,179,,,,,OpenStreetMap
Panorama Bistro,,,confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant,,2025-10-16T11:46:57Z,112,,,,,OpenStreetMap
Espresso House,,coffee_shop cuisine,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;takeaway:yes,,2025-11-29T12:24:43Z,68,,,,,OpenStreetMap
Daddy Greens Pizzabar,Humalistonkatu 3,italian_pizza cuisine,confidence:medium;cuisine:italian;cuisine:pizza;diet:halal:no;diet:kosher:no;restaurant,,2025-09-17T13:14:00Z,141,,,,,OpenStreetMap
Makalu,Pikkalankatu 5,nepalese cuisine,confidence:medium;cuisine:nepalese;diet:halal:no;diet:kosher:no;outdoor_seating:no;restaurant,,2025-11-27T09:18:25Z,70,,,,,OpenStreetMap
Ihana Kahvila Baari,,coffee_shop cuisine,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;outdoor_seating:yes,,2026-01-27T12:41:05Z,9,,,,,OpenStreetMap
Scandic Bistro Meilahti,,,confidence:medium;restaurant,,2025-12-14T11:28:20Z,53,,,,,OpenStreetMap
Deliberi,"Keskuskatu 7, 00100 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-09-06T10:51:29Z,152,,,,,OpenStreetMap
Dylan Marmoripiha,"Keskuskatu 3 A, 00100 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-12-25T11:25:59Z,42,,,,,OpenStreetMap
Cambo Thai,,thai cuisine,confidence:medium;cuisine:thai;restaurant,,2025-08-16T21:39:16Z,173,,,,,OpenStreetMap
Subway,,sandwich cuisine,confidence:medium;cuisine:sandwich;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;takeaway:yes,,2025-09-19T17:25:55Z,139,,,,,OpenStreetMap
Pastelaria Brasil,"Opastinsilta 2, 00520 Helsinki",brazilian cuisine,confidence:medium;cuisine:brazilian;diet:halal:no;diet:kosher:no;restaurant,,2026-01-14T09:42:01Z,22,,,,,OpenStreetMap
La Torrefazione,Helsinki,coffee_shop cuisine,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes,,2025-11-15T11:42:15Z,82,,,,,OpenStreetMap
Chuan Chim Thai Kitchen,"Aleksis Kiven katu 25, 00510 Helsinki",thai cuisine,confidence:medium;cuisine:thai;diet:halal:no;diet:kosher:no;restaurant,,2025-12-21T14:59:22Z,46,,,,,OpenStreetMap
Ella Pizza Kebab,,"pizza, kebab cuisine",confidence:medium;cuisine:kebab;cuisine:pizza;restaurant,,2025-08-16T21:39:16Z,173,,,,,OpenStreetMap
Café Cucca,"Kolmas linja 12, 00530 Helsinki",,cafe;confidence:medium;outdoor_seating:yes,,2025-08-08T14:36:27Z,181,,,,,OpenStreetMap
Unicafe,"Unioninkatu 36, 00170 Helsinki",coffee_shop cuisine,confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:no;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Burger King,"Isonpellontie 7, 00720 Helsinki",burger cuisine,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:no;diet:vegetarian:yes;fast_food;outdoor_seating:no;takeaway:yes,,2026-01-25T12:05:28Z,11,,,,,OpenStreetMap
Fazer Café 8th Floor,"Aleksanterinkatu 52, 00100 Helsinki",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:no,,2026-02-03T05:46:23Z,2,,,,,OpenStreetMap
Way Bakery,"Agricolankatu 9, 00530 Helsinki",,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2025-11-07T08:15:37Z,90,,,,,OpenStreetMap
Fazer Cafe Töölö,"Topeliuksenkatu 17, 00250 Helsinki",coffee_shop cuisine,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;outdoor_seating:yes,,2025-12-11T05:47:04Z,56,,,,,OpenStreetMap
Da Spizzico,"Länsisatamankatu 36, 00220 Helsinki",italian cuisine,confidence:medium;cuisine:italian;diet:halal:no;diet:kosher:no;restaurant,,2025-10-23T06:10:48Z,105,,,,,OpenStreetMap
Qazan,"Itäkatu 1-7, 00930 Helsinki","uzbek, turkish cuisine",confidence:medium;cuisine:turkish;cuisine:uzbek;restaurant,,2025-11-24T06:47:41Z,73,,,,,OpenStreetMap
Broo,Malminkatu 16,pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2026-01-31T00:47:45Z,5,,,,,OpenStreetMap
Joe & The Juice,"Mannerheimintie 14-20, 00100 Helsinki, FI",coffee_shop cuisine,cafe;confidence:medium;cuisine:coffee;cuisine:shop;outdoor_seating:no;takeaway:yes,,2026-01-03T12:57:31Z,33,,,,,OpenStreetMap
Arnolds,"Mannerheimintie 20, 00100 Helsinki, FI",coffee_shop cuisine,cafe;confidence:medium;cuisine:coffee;cuisine:shop;diet:halal:no;diet:kosher:no;outdoor_seating:no,,2025-12-23T16:19:14Z,44,,,,,OpenStreetMap
Levant,"Itälahdenkatu 7, 00210 Helsinki","mediterranean, middle_eastern cuisine",confidence:medium;cuisine:eastern;cuisine:mediterranean;cuisine:middle;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-11-10T10:22:20Z,87,,,,,OpenStreetMap
Luckiefun's,,sushi cuisine,confidence:medium;cuisine:sushi;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:no;restaurant,,2025-11-16T09:23:55Z,81,,,,,OpenStreetMap
Social Burgerjoint,"Kaivokatu 8, 00101 Helsinki",burger cuisine,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:no,,2025-08-17T16:09:28Z,172,,,,,OpenStreetMap
Jungle Juice Bar,,,confidence:medium;diet:halal:no;diet:kosher:no;fast_food;outdoor_seating:no,,2025-09-14T16:16:25Z,144,,,,,OpenStreetMap
Bistro Bron,,,cafe;confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes;takeaway:yes,,2025-12-01T15:48:03Z,66,,,,,OpenStreetMap
Elias döner kebab,"Välimerenkatu 20, 00220 Helsinki",kebab cuisine,confidence:medium;cuisine:kebab;diet:halal:no;diet:kosher:no;restaurant,,2025-10-19T20:57:41Z,109,,,,,OpenStreetMap
Taco Bell,"Fredrikinkatu 65, 00100 Helsinki",tex-mex cuisine,confidence:medium;cuisine:tex-mex;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;fast_food;outdoor_seating:no;takeaway:yes,,2025-09-07T15:05:50Z,151,,,,,OpenStreetMap
Ravintola Pisara Lauttasaari,"Itälahdenkatu 22a, 00210 Helsinki",,confidence:medium;restaurant,,2025-12-10T09:25:13Z,57,,,,,OpenStreetMap
Cafe Pacifico,"Kalevankatu 17, 00100 Helsinki",,cafe;confidence:medium,,2026-01-27T12:10:10Z,9,,,,,OpenStreetMap
Ramen Ichiraku,"Urho Kekkosen katu 1, 00100 Helsinki, FI",noodle cuisine,confidence:medium;cuisine:noodle;outdoor_seating:no;restaurant,,2025-12-26T13:10:26Z,41,,,,,OpenStreetMap
Dylan Kottby Oulunkylä,"Mäkitorpantie 3, 00620 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:no;restaurant,,2025-08-12T16:15:20Z,177,,,,,OpenStreetMap
Pizzakuningas,,pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food,,2025-10-04T16:44:35Z,124,,,,,OpenStreetMap
Bonbon Coffee,"Mechelininkatu 51, 00250 Helsinki",,cafe;confidence:medium,,2025-11-08T08:15:02Z,89,,,,,OpenStreetMap
Ravinteli Olkkari,"Toinen linja 3, 00530 Helsinki, FI",A vibrant culinary living room in Helsinki,confidence:medium;diet:lactose_free:yes;diet:meat:yes;diet:pescetarian:yes;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-08-28T08:41:02Z,161,,,,,OpenStreetMap
Scolare,Fabianinkatu 19,,confidence:medium;restaurant,,2025-10-18T05:54:43Z,110,,,,,OpenStreetMap
Café Linkosuo Esplanadi,"Eteläesplanadi 8, 00130 Helsinki",,cafe;confidence:medium;outdoor_seating:no,,2025-10-18T05:37:58Z,110,,,,,OpenStreetMap
Faselli,"Helsinginkatu 21, 00530 Helsinki",italian cuisine,confidence:medium;cuisine:italian;delivery:yes;outdoor_seating:yes;restaurant;takeaway:yes,,2025-12-13T10:38:48Z,54,,,,,OpenStreetMap
Picnic,"Urho Kekkosen katu 1, 00100 Helsinki",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:no,,2025-11-30T16:22:15Z,67,,,,,OpenStreetMap
Robert's Coffee,"Bulevardi 1, 00100 Helsinki",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes,,2025-09-14T16:14:12Z,144,,,,,OpenStreetMap
Helsingin Pizzapojat,"Vuotie 3, 00980 Helsinki",pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;restaurant,,2025-11-10T18:45:19Z,87,,,,,OpenStreetMap
Biblos,"Eteläesplanadi 22, 00130 Helsinki",middle_eastern cuisine,confidence:medium;cuisine:eastern;cuisine:middle;restaurant,,2026-01-09T21:51:21Z,27,,,,,OpenStreetMap
Rue Madame,"Pohjoisesplanadi 25-27, 00100 Helsinki","italian, french cuisine",confidence:medium;cuisine:french;cuisine:italian;restaurant,,2025-08-12T08:05:20Z,177,,,,,OpenStreetMap
Elias Döner kebab & Pizzotto,"Ajomiehentie 1, 00390 Helsinki","pizza, kebab cuisine",confidence:medium;cuisine:kebab;cuisine:pizza;restaurant,,2025-11-17T19:06:25Z,80,,,,,OpenStreetMap
Metka Cafe,Myllypurontie 1,,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2026-01-22T15:41:47Z,14,,,,,OpenStreetMap
Tavola,"Maisemamaalauksenkatu 1, 00430 Helsinki",italian cuisine,confidence:medium;cuisine:italian;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant,,2025-09-11T19:09:06Z,147,,,,,OpenStreetMap
kot.,"Kahvipavunkuja 2, 00990 Helsinki","wings, burger cuisine",confidence:medium;cuisine:burger;cuisine:wings;fast_food,,2025-09-20T15:38:56Z,138,,,,,OpenStreetMap
Fazer Cafe Lauttasaari,"Lauttasaarentie 29, 00200 Helsinki",,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2025-12-25T11:15:23Z,42,,,,,OpenStreetMap
Fazer Café Kaisaniemi,"Kaisaniemenkatu 6, 00100 Helsinki",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes,,2025-12-25T11:13:46Z,42,,,,,OpenStreetMap
Relove Café Stockmann,"Aleksanterinkatu 52, 00100 Helsinki",Kahvilassa tarjoillaan sesongittain vaihtuvia terveellisiä ihanuuksia.,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:no,,2025-09-28T12:31:00Z,130,,,,,OpenStreetMap
Sano Nepal,"Kulmavuorenkatu 4, 00500 Helsinki",indian cuisine,confidence:medium;cuisine:indian;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2026-02-02T11:32:04Z,3,,,,,OpenStreetMap
Omu Raisu,Kulmavuorenkatu 4,japanese cuisine,confidence:medium;cuisine:japanese;restaurant,,2026-02-02T11:32:04Z,3,,,,,OpenStreetMap
Hills Dumplings,Kalevankatu 17,,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;restaurant,,2025-09-06T17:52:06Z,152,,,,,OpenStreetMap
Mama's Empanadas,"Vaasankatu 11, 00500 Helsinki",,cafe;confidence:medium;outdoor_seating:yes,,2025-09-09T12:42:29Z,149,,,,,OpenStreetMap
Majakkalaiva Relandersgrund,"Pohjoisranta 1, 00170 Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant;takeaway:yes,,2025-09-03T18:08:09Z,155,,,,,OpenStreetMap
Kakkugalleria,,,cafe;confidence:medium;diet:vegetarian:yes;outdoor_seating:no,,2025-09-28T12:31:00Z,130,,,,,OpenStreetMap
